id,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
1,0.1,0.29,2.23,8.48,14.47,19.38,19.46,15.56,10.28,8.89,5.48,3.46,2.03,0.81,0.63,0.26,1.0
2,0.09,0.29,2.22,8.35,14.55,18.83,19.04,14.99,10.21,8.7,5.5,3.43,1.89,0.94,0.62,0.27,0.98
3,0.09,0.29,2.22,8.35,14.55,18.83,19.04,14.99,10.21,8.7,5.5,3.43,1.89,0.94,0.62,0.27,0.98
4,0.09,0.29,2.22,8.35,14.55,18.83,19.04,14.99,10.21,8.7,5.5,3.43,1.89,0.94,0.62,0.27,0.98
5,0.09,0.29,2.22,8.35,14.55,18.83,19.04,14.99,10.21,8.7,5.5,3.43,1.89,0.94,0.62,0.27,0.98
6,0.09,0.29,2.22,8.35,14.55,18.83,19.04,14.99,10.21,8.7,5.5,3.43,1.89,0.94,0.62,0.27,0.98
7,0.09,0.29,2.22,8.35,14.55,18.83,19.04,14.99,10.21,8.7,5.5,3.43,1.89,0.94,0.62,0.27,0.98
8,0.02,0.14,2.24,7.42,15.19,20.38,20.48,17.12,13.79,9.09,6.92,4.45,3.63,2.17,1.06,0.55,1.34
9,0.02,0.16,2.14,7.46,15.22,20.36,20.76,17.99,13.93,9.24,6.86,4.47,3.59,2.17,1.01,0.54,1.25
10,0.02,0.16,2.15,7.46,15.25,20.25,20.7,17.79,14.13,9.26,6.88,4.49,3.67,2.17,1.01,0.54,1.25
11,0.02,0.17,2.12,7.28,14.94,20.38,20.55,18.12,14.02,9.23,7.26,4.63,3.8,2.34,1.29,0.62,1.22
12,0.02,0.17,2.21,7.41,15.08,20.58,20.82,18.56,13.86,9.17,7.08,4.55,3.65,2.16,1.09,0.62,1.22
13,0.02,0.17,2.24,7.47,15.15,20.5,20.74,18.23,13.88,9.14,7.07,4.54,3.65,2.18,1.09,0.62,1.22
14,0.02,0.15,2.26,7.47,15.33,20.61,20.8,18.52,13.9,9.19,7.18,4.63,3.73,2.19,1.14,0.65,1.33
15,0.02,0.12,2.2,7.33,15.1,20.26,20.85,18.0,13.85,9.23,7.19,4.62,3.73,2.2,1.14,0.65,1.34
16,0.04,0.18,2.15,7.37,14.92,20.18,20.57,18.09,14.0,9.36,7.21,4.62,3.7,2.21,1.14,0.64,1.23
17,0.04,0.18,2.15,7.37,14.92,20.18,20.57,18.09,14.0,9.36,7.21,4.62,3.7,2.21,1.14,0.64,1.23
18,0.02,0.15,2.26,7.53,15.45,20.61,20.9,18.48,13.99,9.26,7.29,4.65,3.81,2.19,1.14,0.65,1.33
19,0.04,0.2,1.88,8.22,14.55,18.08,18.57,15.78,13.44,8.16,5.41,3.93,2.66,1.51,1.28,0.36,2.58
20,0.52,0.19,2.17,6.82,14.49,19.3,19.58,17.3,13.29,8.38,6.25,3.84,2.96,1.88,1.14,0.54,0.89
21,0.52,0.19,2.15,6.89,14.52,19.42,19.65,17.2,13.26,8.24,6.32,3.81,2.96,1.87,1.1,0.54,0.89
22,0.52,0.19,2.15,7.03,14.8,19.62,19.8,17.6,13.75,8.43,6.68,4.01,3.1,1.89,1.1,0.54,0.89
23,0.52,0.19,2.15,7.03,14.8,19.62,19.8,17.6,13.75,8.43,6.68,4.01,3.1,1.89,1.1,0.54,0.89
24,0.52,0.19,2.15,6.89,14.52,19.42,19.65,17.2,13.26,8.24,6.32,3.81,2.96,1.87,1.1,0.54,0.89
25,0.52,0.18,2.17,7.09,14.51,19.59,19.8,17.72,13.53,8.65,6.58,4.06,3.02,1.95,1.09,0.6,0.92
26,0.52,0.19,2.15,6.89,14.52,19.42,19.65,17.2,13.26,8.24,6.32,3.81,2.96,1.87,1.1,0.54,0.89
27,0.52,0.19,2.15,6.89,14.57,19.16,19.57,17.42,13.63,8.45,6.61,3.99,3.08,1.86,1.1,0.54,0.89
28,0.52,0.19,2.15,6.89,14.57,19.16,19.57,17.42,13.63,8.45,6.61,3.99,3.08,1.86,1.1,0.54,0.89
29,0.52,0.18,2.22,7.18,14.59,19.76,19.72,17.77,13.72,8.63,6.61,4.06,2.96,1.9,1.09,0.61,0.89
30,0.52,0.19,2.15,7.03,14.8,19.62,19.8,17.6,13.75,8.43,6.68,4.01,3.1,1.89,1.1,0.54,0.89
31,0.52,0.19,2.15,6.89,14.52,19.42,19.65,17.2,13.26,8.24,6.32,3.81,2.96,1.87,1.1,0.54,0.89
32,0.52,0.19,2.15,6.89,14.52,19.42,19.65,17.2,13.26,8.24,6.32,3.81,2.96,1.87,1.1,0.54,0.89
33,0.52,0.19,2.15,6.89,14.52,19.42,19.65,17.2,13.26,8.24,6.32,3.81,2.96,1.87,1.1,0.54,0.89
34,0.52,0.19,2.15,7.03,14.8,19.62,19.8,17.6,13.75,8.43,6.68,4.01,3.1,1.89,1.1,0.54,0.89
35,0.04,0.19,1.86,8.31,14.52,18.15,18.61,15.99,13.55,8.3,5.63,4.16,2.75,1.58,1.38,0.36,2.77
36,0.53,0.25,1.66,7.2,14.16,18.56,19.19,18.67,13.52,9.04,7.0,4.2,3.01,1.68,0.99,0.51,0.88
37,0.53,0.25,1.65,7.2,14.61,19.05,19.59,18.97,13.5,8.7,6.89,4.21,2.96,1.56,1.02,0.51,0.87
38,0.53,0.25,1.66,7.24,14.45,18.89,19.51,18.76,13.35,8.66,6.85,4.05,2.95,1.52,1.0,0.5,0.8
